Timestamp,L_Elbow,R_Elbow,L_Shoulder,R_Shoulder,L_Hip,R_Hip,L_Knee,R_Knee
2025-12-18 15:34:17.859,90,90,157,138,12,25,90,90
2025-12-18 15:34:18.370,90,27,143,2,21,21,90,90
2025-12-18 15:34:18.877,90,139,136,2,25,174,90,10
2025-12-18 15:34:19.378,90,131,133,16,31,172,90,22
2025-12-18 15:34:19.882,90,126,132,18,32,173,90,165
2025-12-18 15:34:20.437,90,153,135,5,30,173,90,21
2025-12-18 15:34:20.939,90,134,132,16,33,170,90,177
2025-12-18 15:34:21.443,90,145,133,14,32,169,90,174
2025-12-18 15:34:21.946,90,136,137,55,32,166,90,28
2025-12-18 15:34:22.470,90,45,133,8,33,168,90,28
2025-12-18 15:34:23.024,90,50,135,12,31,169,90,28
2025-12-18 15:34:23.526,90,109,132,32,34,168,90,27
2025-12-18 15:34:24.026,90,134,133,28,33,167,90,28
2025-12-18 15:34:24.537,90,145,135,24,32,169,90,27
2025-12-18 15:34:25.038,90,150,135,21,31,169,90,167
2025-12-18 15:34:25.591,90,151,132,21,33,169,90,167
2025-12-18 15:34:26.146,90,154,130,18,35,169,90,171
2025-12-18 15:34:26.648,90,156,128,16,37,172,90,168
2025-12-18 15:34:27.149,90,156,132,16,34,170,90,167
2025-12-18 15:34:27.651,90,146,135,20,31,172,90,173
2025-12-18 15:34:28.307,90,143,131,23,36,170,90,26
2025-12-18 15:34:28.810,8,146,132,33,178,163,28,172
2025-12-18 15:34:29.312,178,152,13,25,177,164,33,176
2025-12-18 15:34:29.814,8,128,133,35,175,164,179,179
2025-12-18 15:34:30.315,9,117,132,40,178,166,170,177
2025-12-18 15:34:30.820,8,147,132,23,176,163,32,175
2025-12-18 15:34:31.329,9,141,130,25,177,162,179,176
2025-12-18 15:34:31.835,90,140,134,25,176,164,172,173
2025-12-18 15:34:32.339,90,152,132,17,179,169,163,173
2025-12-18 15:34:32.841,90,160,133,12,178,170,29,169
2025-12-18 15:34:33.392,90,156,134,15,179,171,27,169
2025-12-18 15:34:33.894,90,162,134,16,176,169,30,171
2025-12-18 15:34:34.400,90,155,133,12,33,175,90,168
2025-12-18 15:34:34.908,90,154,133,11,33,174,90,168
2025-12-18 15:34:35.410,90,140,135,22,32,169,90,171
2025-12-18 15:34:36.386,90,99,29,6,140,151,90,133
2025-12-18 15:34:36.932,90,157,136,13,32,169,90,171
2025-12-18 15:34:37.432,90,159,135,12,166,161,35,178
2025-12-18 15:34:37.941,90,152,116,19,177,165,176,179
2025-12-18 15:34:38.451,90,134,112,21,174,163,164,172
2025-12-18 15:34:38.956,90,133,113,25,178,165,176,175
2025-12-18 15:34:40.010,90,148,142,6,178,178,165,162
2025-12-18 15:34:40.516,90,158,124,11,177,171,175,171
2025-12-18 15:34:41.022,90,162,130,9,172,168,177,177
2025-12-18 15:34:41.528,90,117,130,29,174,164,169,178
2025-12-18 15:34:43.192,90,152,121,15,179,168,169,178
2025-12-18 15:34:43.703,90,140,122,12,173,167,176,173
2025-12-18 15:34:44.206,90,143,120,9,175,166,175,173
2025-12-18 15:34:44.712,90,141,119,12,177,169,178,174
2025-12-18 15:34:45.223,90,152,127,7,169,177,174,178
2025-12-18 15:34:45.726,90,141,128,14,35,168,90,176
2025-12-18 15:34:46.226,90,149,126,14,37,170,90,33
2025-12-18 15:34:46.726,90,132,125,12,37,174,90,29
2025-12-18 15:34:47.226,90,131,129,12,34,174,90,32
2025-12-18 15:34:47.726,90,130,125,15,38,173,90,179
2025-12-18 15:34:48.227,90,142,124,9,39,172,90,179
2025-12-18 15:34:48.727,90,137,123,13,39,171,90,177
2025-12-18 15:34:49.231,90,154,125,13,38,170,90,177
2025-12-18 15:34:49.732,90,154,126,13,37,166,90,36
2025-12-18 15:34:50.237,90,155,123,13,39,167,90,35
2025-12-18 15:34:50.737,90,159,125,15,38,30,90,90
2025-12-18 15:34:51.237,90,136,124,13,39,164,90,36
2025-12-18 15:34:51.738,90,150,123,12,39,168,90,34
2025-12-18 15:34:52.240,90,147,124,14,39,169,90,177
2025-12-18 15:34:52.741,90,146,121,16,41,171,90,178
2025-12-18 15:34:53.279,90,116,32,4,137,77,90,109
2025-12-18 15:34:53.858,90,143,40,4,125,90,90,127
