Timestamp,L_Elbow,R_Elbow,L_Shoulder,R_Shoulder,L_Hip,R_Hip,L_Knee,R_Knee
2025-12-18 12:19:21.248,38,3,56,72,11,24,7,15
2025-12-18 12:19:21.762,140,148,44,27,161,172,167,176
2025-12-18 12:19:22.274,147,161,33,24,172,174,176,178
2025-12-18 12:19:22.781,147,160,31,24,174,173,175,178
2025-12-18 12:19:23.290,84,2,38,42,170,164,178,163
2025-12-18 12:19:23.798,128,21,35,53,169,173,176,176
2025-12-18 12:19:24.312,171,114,39,56,166,177,173,179
2025-12-18 12:19:24.819,175,151,44,64,171,172,177,179
2025-12-18 12:19:25.332,174,101,69,77,175,176,177,178
2025-12-18 12:19:25.840,171,86,75,85,175,177,178,177
2025-12-18 12:19:26.353,88,99,80,89,177,176,178,177
2025-12-18 12:19:26.861,145,125,66,71,177,176,177,179
2025-12-18 12:19:27.374,149,141,59,63,176,173,178,179
2025-12-18 12:19:27.890,150,140,63,63,176,174,178,179
2025-12-18 12:19:28.401,80,121,51,60,178,175,177,179
2025-12-18 12:19:28.909,78,127,48,59,178,176,178,179
2025-12-18 12:19:29.420,45,63,36,49,178,175,176,179
2025-12-18 12:19:29.937,179,135,46,52,176,172,178,177
2025-12-18 12:19:30.459,163,173,46,44,176,171,177,178
