Timestamp,L_Elbow,R_Elbow,L_Shoulder,R_Shoulder,L_Hip,R_Hip,L_Knee,R_Knee
2025-12-18 14:50:37.159,157,153,34,29,166,170,178,178
2025-12-18 14:50:37.670,113,162,33,10,168,179,179,178
2025-12-18 14:50:38.199,155,168,28,4,172,173,178,177
2025-12-18 14:50:38.737,165,172,32,22,170,164,177,179
2025-12-18 14:50:39.268,49,133,28,15,179,170,177,176
2025-12-18 14:50:39.772,151,163,23,6,170,157,172,165
2025-12-18 14:50:40.295,142,150,20,21,171,174,177,178
2025-12-18 14:50:40.803,161,105,20,16,174,176,178,177
2025-12-18 14:50:41.340,157,159,36,7,166,178,176,176
2025-12-18 14:50:41.844,167,169,30,10,166,178,176,175
2025-12-18 14:50:42.346,160,166,28,1,167,171,170,166
2025-12-18 14:50:42.888,168,30,35,10,167,178,176,177
2025-12-18 14:50:43.392,164,167,34,13,164,179,175,175
